ax,ay,az,gx,gy,gz,id
1.37348,-4.89332,8.71824,-16.1986,-1.1102,6.08846,3
1.39143,-4.93759,8.74337,-1.13116,1.10354,6.22845,3
1.38066,-4.81316,8.82592,14.1288,2.73104,6.21095,3
1.3986,-4.90289,8.85822,31.2087,4.52478,6.20221,3
1.40937,-4.58584,9.09033,80.9173,10.0985,4.93346,3
1.35553,-4.13838,9.21117,91.3473,10.9385,3.98846,3
1.28016,-3.52462,9.37029,95.8885,11.1485,2.94722,3
1.20239,-2.91087,9.53539,93.3161,10.9648,2.04597,3
1.12223,-2.40837,9.62751,84.0411,10.221,1.22347,3
1.03968,-2.16191,9.71366,69.3936,8.73352,0.365972,3
0.982253,-2.05065,9.81655,52.8824,7.09728,-0.465276,3
0.946361,-2.02911,9.89072,35.7937,5.35603,-1.18277,3
0.955932,-2.12363,9.90628,20.3238,3.77229,-1.77777,3
0.969093,-2.35334,9.89192,8.84381,2.38979,-2.38152,3
1.01934,-2.77208,9.74835,2.40383,0.464797,-2.95902,3
1.02413,-2.79123,9.70528,6.62132,0.508546,-2.73152,3
1.0337,-2.76969,9.66221,11.7226,0.534796,-2.28527,3
1.02891,-2.67757,9.64546,17.1913,1.0073,-1.72527,3
1.02054,-2.49093,9.64426,21.6888,1.48854,-1.15652,3
1.01097,-2.2325,9.60957,22.6688,1.0248,-0.719025,3
